ala ala 0.619618
ala arg 0.411333
ala asn 0.443536
ala asp 0.361602
ala gln 0.443508
ala glu 0.354046
ala gly 0.624568
ala lys 0.390000
ala pro 0.508469
ala ser 0.496132
ala thr 0.598205
arg arg 0.322000
arg asp 0.864792
arg gln 0.489828
arg glu 0.892059
arg lys 0.330169
asn arg 0.488237
asn asn 0.619860
asn asp 0.458332
asn gln 0.578773
asn glu 0.475800
asn lys 0.409699
asn ser 0.507572
asn thr 0.535171
asp asp 0.302000
asp glu 0.302000
asp lys 0.621965
cys ala 0.614638
cys arg 0.441119
cys asn 0.528028
cys asp 0.361232
cys cys 0.656154
cys gln 0.625145
cys glu 0.384753
cys gly 0.617549
cys his 0.652489
cys ile 0.731731
cys leu 0.818100
cys lys 0.375866
cys met 0.735293
cys phe 0.817167
cys pro 0.718804
cys ser 0.559288
cys thr 0.646817
cys trp 0.756659
cys tyr 0.741421
cys val 0.785276
gln asp 0.445919
gln gln 0.520431
gln glu 0.397463
gln lys 0.431052
glu glu 0.302000
gly arg 0.463758
gly asn 0.555003
gly asp 0.405297
gly gln 0.546574
gly glu 0.412392
gly gly 0.629445
gly lys 0.402641
gly pro 0.579099
gly ser 0.524349
gly thr 0.602775
his ala 0.602315
his arg 0.528646
his asn 0.669412
his asp 0.389259
his gln 0.609962
his glu 0.414075
his gly 0.613896
his his 0.800527
his lys 0.440733
his pro 0.703300
his ser 0.627663
his thr 0.630719
his tyr 0.827131
ile ala 0.644651
ile arg 0.470170
ile asn 0.522470
ile asp 0.302000
ile gln 0.548374
ile glu 0.302000
ile gly 0.594378
ile his 0.718567
ile ile 0.822718
ile lys 0.402537
ile met 0.806308
ile pro 0.791429
ile ser 0.492610
ile thr 0.637856
ile tyr 0.873244
leu ala 0.751876
leu arg 0.525401
leu asn 0.567262
leu asp 0.382011
leu gln 0.668010
leu glu 0.369990
leu gly 0.714275
leu his 0.846888
leu ile 0.974499
leu leu 1.083770
leu lys 0.353544
leu met 0.973562
leu pro 0.858556
leu ser 0.521421
leu thr 0.684880
leu trp 0.978215
leu tyr 0.980684
leu val 1.083769
lys glu 0.672485
lys lys 0.367787
met ala 0.620113
met arg 0.464419
met asn 0.512754
met asp 0.362000
met gln 0.583181
met glu 0.402926
met gly 0.553717
met his 0.622799
met lys 0.382596
met met 0.847025
met pro 0.762556
met ser 0.539211
met thr 0.681248
met tyr 0.737418
phe ala 0.723659
phe arg 0.556843
phe asn 0.436086
phe asp 0.382000
phe gln 0.648207
phe glu 0.302000
phe gly 0.617363
phe his 0.661186
phe ile 0.745794
phe leu 0.833862
phe lys 0.340200
phe met 0.889450
phe phe 0.856632
phe pro 0.654844
phe ser 0.558372
phe thr 0.622611
phe trp 0.792989
phe tyr 0.934808
phe val 0.799572
pro arg 0.495272
pro asn 0.551434
pro asp 0.302000
pro gln 0.561925
pro glu 0.352000
pro lys 0.302000
pro pro 0.701582
pro ser 0.495474
pro thr 0.599967
ser arg 0.391736
ser asp 0.513757
ser gln 0.559337
ser glu 0.474460
ser lys 0.444533
ser ser 0.469928
thr arg 0.474909
thr asp 0.489845
thr gln 0.595363
thr glu 0.515812
thr lys 0.352033
thr ser 0.512072
thr thr 0.577443
trp ala 0.748412
trp arg 0.699013
trp asn 0.617456
trp asp 0.302000
trp gln 0.730858
trp glu 0.371184
trp gly 0.620953
trp his 0.859715
trp ile 0.931228
trp lys 0.541913
trp met 0.908944
trp pro 0.868810
trp ser 0.608715
trp thr 0.713838
trp trp 0.969607
trp tyr 0.798803
trp val 0.712398
tyr ala 0.643983
tyr arg 0.568892
tyr asn 0.633636
tyr asp 0.302000
tyr gln 0.676110
tyr glu 0.389355
tyr gly 0.608207
tyr lys 0.458957
tyr pro 0.694109
tyr ser 0.572771
tyr thr 0.582095
tyr tyr 0.694614
val ala 0.720345
val arg 0.480396
val asn 0.574732
val asp 0.302000
val gln 0.680208
val glu 0.363126
val gly 0.741032
val his 0.853909
val ile 0.934130
val lys 0.389808
val met 0.725499
val pro 0.691879
val ser 0.506427
val thr 0.726178
val tyr 0.939555
val val 0.838249
