ala ala 0.550593
ala arg 0.331383
ala asn 0.413740
ala asp 0.302371
ala gln 0.400834
ala glu 0.326496
ala gly 0.564363
ala lys 0.305303
ala pro 0.448458
ala ser 0.375454
ala thr 0.561821
arg arg 0.315210
arg asp 0.855100
arg gln 0.339018
arg glu 0.863671
arg lys 0.334051
asn arg 0.409243
asn asn 0.581179
asn asp 0.398524
asn gln 0.511216
asn glu 0.379853
asn lys 0.330808
asn ser 0.478894
asn thr 0.487952
asp asp 0.302000
asp glu 0.302000
asp lys 0.621813
cys ala 0.561118
cys arg 0.404082
cys asn 0.482571
cys asp 0.363094
cys cys 0.588626
cys gln 0.580412
cys glu 0.389645
cys gly 0.553189
cys his 0.573170
cys ile 0.617335
cys leu 0.691037
cys lys 0.380339
cys met 0.666148
cys phe 0.756163
cys pro 0.702176
cys ser 0.532382
cys thr 0.569824
cys trp 0.607339
cys tyr 0.625887
cys val 0.677768
gln asp 0.396932
gln gln 0.454662
gln glu 0.376144
gln lys 0.371684
glu glu 0.302000
gly arg 0.404565
gly asn 0.519989
gly asp 0.304769
gly gln 0.439390
gly glu 0.356198
gly gly 0.570074
gly lys 0.335911
gly pro 0.524997
gly ser 0.483136
gly thr 0.577356
his ala 0.578926
his arg 0.468119
his asn 0.581235
his asp 0.376968
his gln 0.550522
his glu 0.396134
his gly 0.536432
his his 0.690360
his lys 0.302423
his pro 0.709973
his ser 0.502076
his thr 0.600605
his tyr 0.715619
ile ala 0.571320
ile arg 0.400020
ile asn 0.436784
ile asp 0.309649
ile gln 0.477531
ile glu 0.302312
ile gly 0.518923
ile his 0.617667
ile ile 0.777596
ile lys 0.320554
ile met 0.693736
ile pro 0.816564
ile ser 0.452608
ile thr 0.550403
ile tyr 0.717381
leu ala 0.682093
leu arg 0.476944
leu asn 0.487535
leu asp 0.381643
leu gln 0.530031
leu glu 0.305774
leu gly 0.646616
leu his 0.667865
leu ile 0.832005
leu leu 0.975559
leu lys 0.319691
leu met 0.803070
leu pro 0.768775
leu ser 0.504748
leu thr 0.636186
leu trp 0.820401
leu tyr 0.878187
leu val 0.981213
lys glu 0.573502
lys lys 0.346573
met ala 0.550727
met arg 0.367439
met asn 0.459445
met asp 0.331802
met gln 0.470059
met glu 0.349781
met gly 0.506991
met his 0.556750
met lys 0.302439
met met 0.687894
met pro 0.701082
met ser 0.502001
met thr 0.594502
met tyr 0.693428
phe ala 0.651151
phe arg 0.566053
phe asn 0.414592
phe asp 0.389322
phe gln 0.625102
phe glu 0.302000
phe gly 0.600509
phe his 0.657730
phe ile 0.705997
phe leu 0.806387
phe lys 0.311567
phe met 0.710294
phe phe 0.830095
phe pro 0.636413
phe ser 0.552636
phe thr 0.614771
phe trp 0.752290
phe tyr 0.953750
phe val 0.763198
pro arg 0.431713
pro asn 0.500915
pro asp 0.307623
pro gln 0.593308
pro glu 0.320320
pro lys 0.302000
pro pro 0.602933
pro ser 0.482975
pro thr 0.590769
ser arg 0.336868
ser asp 0.484815
ser gln 0.458192
ser glu 0.445378
ser lys 0.438518
ser ser 0.397668
thr arg 0.378404
thr asp 0.440424
thr gln 0.552873
thr glu 0.487429
thr lys 0.307549
thr ser 0.475956
thr thr 0.536403
trp ala 0.738428
trp arg 0.678358
trp asn 0.582136
trp asp 0.302000
trp gln 0.635229
trp glu 0.325066
trp gly 0.591161
trp his 0.881291
trp ile 0.810141
trp lys 0.417647
trp met 0.851299
trp pro 0.854976
trp ser 0.585261
trp thr 0.647772
trp trp 0.687369
trp tyr 0.743422
trp val 0.709939
tyr ala 0.609786
tyr arg 0.506605
tyr asn 0.508349
tyr asp 0.302000
tyr gln 0.540271
tyr glu 0.390195
tyr gly 0.590545
tyr lys 0.302000
tyr pro 0.582607
tyr ser 0.487255
tyr thr 0.566779
tyr tyr 0.642968
val ala 0.723664
val arg 0.461958
val asn 0.547479
val asp 0.302000
val gln 0.599598
val glu 0.363119
val gly 0.680822
val his 0.760575
val ile 0.829025
val lys 0.330279
val met 0.728393
val pro 0.669392
val ser 0.516521
val thr 0.638938
val tyr 0.834272
val val 0.851153
